0	[0, 1, 2, 3, 4, 5, 6, 7]
1	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
2	[20, 21, 24, 25, 26, 27, 28, 29, 23, 50, 49, 48, 42, 41, 40, 39, 34, 33, 32, 31, 30, 35, 96, 97, 98, 99, 36, 37, 38, 95, 94, 88, 89, 90, 91, 92, 93, 87, 86, 85, 84, 83, 82, 43, 44, 45, 46, 47, 22, 51]
3	[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]
4	[64, 65, 66, 67, 68, 69]
5	[70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
6	[80, 81]
7	[100, 101, 102, 103, 104, 105]
8	[106, 107]
9	[108, 109]
10	[110, 111]
11	[112, 113]
12	[114, 115]
13	[116, 117, 118, 119, 120, 121, 122, 123]
14	[124, 125]
15	[126, 127]
16	[128, 129]
17	[130, 131, 132, 133, 134, 135, 136, 137, 138, 139]
18	[140, 141, 142, 143, 144, 145]
19	[146, 147]
20	[148, 149]
