[88, 89, 90, 91, 92, 93, 99, 98, 97, 96, 95, 94, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]
(89, 88, 2, 'S')
(89, 90, 1, 'R')
(89, 91, 1, 'SV')
(91, 90, 2, 'S')
(90, 92, 1, 'SV')
(91, 92, 1, 'R')
(93, 92, 2, 'S')
(93, 99, 1, 'SV')
(93, 94, 1, 'R')
(99, 98, 2, 'S')
(99, 100, 1, 'R')
(97, 98, 2, 'R')
(96, 97, 3, 'S')
(95, 96, 1, 'R')
(94, 95, 1, 'S')
(100, 101, 2, 'S')
(101, 102, 2, 'R')
(102, 103, 1, 'SV')
(102, 103, 3, 'S')
(103, 104, 2, 'R')
(104, 105, 2, 'S')
(105, 106, 1, 'R')
(105, 108, 1, 'SV')
(106, 107, 1, 'S')
(107, 108, 1, 'R')
(108, 109, 2, 'S')
(96, 96, 1, 'SV')
