(21, 20, 2, 'S')
(21, 24, 1, 'SV')
(21, 22, 1, 'R')
(25, 24, 2, 'S')
(23, 24, 1, 'R')
(25, 26, 1, 'R')
(25, 29, 1, 'SV')
(26, 27, 1, 'S')
(27, 28, 1, 'R')
(28, 29, 3, 'S')
(23, 50, 1, 'SV')
(23, 22, 2, 'S')
(49, 50, 1, 'R')
(50, 51, 2, 'S')
(49, 48, 2, 'S')
(22, 49, 1, 'SV')
(42, 48, 1, 'SV')
(47, 48, 1, 'R')
(41, 42, 1, 'R')
(42, 43, 2, 'S')
(41, 40, 2, 'S')
(39, 40, 2, 'R')
(39, 34, 1, 'SV')
(39, 38, 3, 'S')
(33, 34, 2, 'R')
(35, 34, 3, 'S')
(33, 32, 2, 'S')
(31, 32, 2, 'R')
(30, 31, 2, 'S')
(35, 96, 1, 'SV')
(35, 36, 2, 'R')
(97, 96, 2, 'S')
(95, 96, 1, 'R')
(97, 98, 1, 'R')
(36, 97, 1, 'SV')
(98, 99, 2, 'S')
(36, 37, 3, 'S')
(37, 38, 3, 'R')
(95, 94, 2, 'S')
(88, 94, 1, 'SV')
(93, 94, 1, 'R')
(88, 89, 2, 'S')
(87, 88, 1, 'R')
(89, 90, 2, 'R')
(90, 91, 3, 'S')
(91, 92, 1, 'R')
(93, 92, 1, 'S')
(87, 86, 2, 'S')
(85, 86, 2, 'R')
(84, 85, 3, 'S')
(83, 84, 2, 'R')
(82, 83, 2, 'S')
(43, 44, 2, 'R')
(44, 45, 3, 'S')
(45, 46, 1, 'R')
(47, 46, 1, 'S')
(28, 28, 1, 'SV')
(91, 91, 1, 'SV')
(82, 82, 1, 'SV')
(45, 45, 1, 'SV')
(84, 85, 1, 'D')
(41, 98, 1, 'D')
(95, 90, 1, 'D')
(87, 44, 1, 'D')
