(1, 0, 2, 'S')
(1, 2, 0, 'R')
(3, 2, 2, 'S')
(3, 4, 0, 'R')
(5, 4, 2, 'S')
(5, 6, 0, 'R')
(6, 7, 2, 'S')
(9, 8, 2, 'S')
(9, 10, 0, 'R')
(11, 10, 2, 'S')
(11, 12, 0, 'R')
(12, 13, 2, 'S')
(13, 14, 0, 'R')
(15, 14, 3, 'S')
(15, 16, 0, 'R')
(17, 16, 3, 'S')
(17, 18, 0, 'R')
(18, 19, 3, 'S')
(21, 20, 2, 'S')
(21, 22, 0, 'R')
(23, 22, 2, 'S')
(23, 24, 0, 'R')
(25, 24, 2, 'S')
(25, 26, 0, 'R')
(26, 27, 2, 'S')
(27, 28, 0, 'R')
(28, 29, 3, 'S')
(30, 31, 2, 'S')
(31, 32, 0, 'R')
(33, 32, 3, 'S')
(33, 34, 0, 'R')
(35, 34, 3, 'S')
(35, 36, 0, 'R')
(36, 37, 3, 'S')
(37, 38, 0, 'R')
(39, 38, 2, 'S')
(39, 40, 0, 'R')
(41, 40, 2, 'S')
(41, 42, 0, 'R')
(42, 43, 2, 'S')
(43, 44, 0, 'R')
(44, 45, 3, 'S')
(45, 46, 0, 'R')
(47, 46, 2, 'S')
(47, 48, 0, 'R')
(49, 48, 2, 'S')
(49, 50, 0, 'R')
(50, 51, 2, 'S')
(52, 53, 1, 'S')
(53, 54, 0, 'R')
(54, 55, 1, 'S')
(55, 56, 0, 'R')
(56, 57, 1, 'S')
(57, 58, 0, 'R')
(58, 59, 1, 'S')
(59, 60, 0, 'R')
(60, 61, 1, 'S')
(61, 62, 0, 'R')
(62, 63, 1, 'S')
(65, 64, 2, 'S')
(65, 66, 0, 'R')
(67, 66, 2, 'S')
(67, 68, 0, 'R')
(68, 69, 2, 'S')
(71, 70, 2, 'S')
(71, 72, 0, 'R')
(72, 73, 2, 'S')
(73, 74, 0, 'R')
(74, 75, 3, 'S')
(75, 76, 0, 'R')
(77, 76, 2, 'S')
(77, 78, 0, 'R')
(78, 79, 2, 'S')
(80, 81, 2, 'S')
(82, 83, 2, 'S')
(83, 84, 0, 'R')
(84, 85, 3, 'S')
(85, 86, 0, 'R')
(87, 86, 2, 'S')
(87, 88, 0, 'R')
(88, 89, 2, 'S')
(89, 90, 0, 'R')
(90, 91, 3, 'S')
(91, 92, 0, 'R')
(93, 92, 2, 'S')
(93, 94, 0, 'R')
(95, 94, 2, 'S')
(95, 96, 0, 'R')
(97, 96, 2, 'S')
(97, 98, 0, 'R')
(98, 99, 2, 'S')
(100, 101, 2, 'S')
(101, 102, 0, 'R')
(102, 103, 1, 'S')
(103, 104, 0, 'R')
(104, 105, 2, 'S')
(106, 107, 2, 'S')
(108, 109, 2, 'S')
(110, 111, 2, 'S')
(112, 113, 2, 'S')
(114, 115, 2, 'S')
(116, 117, 2, 'S')
(117, 118, 0, 'R')
(119, 118, 1, 'S')
(119, 120, 0, 'R')
(120, 121, 1, 'S')
(121, 122, 0, 'R')
(122, 123, 2, 'S')
(124, 125, 2, 'S')
(126, 127, 2, 'S')
(128, 129, 2, 'S')
(130, 131, 2, 'S')
(131, 132, 0, 'R')
(132, 133, 1, 'S')
(133, 134, 0, 'R')
(134, 135, 2, 'S')
(135, 136, 0, 'R')
(136, 137, 3, 'S')
(137, 138, 0, 'R')
(138, 139, 2, 'S')
(140, 141, 2, 'S')
(141, 142, 0, 'R')
(142, 143, 1, 'S')
(143, 144, 0, 'R')
(144, 145, 2, 'S')
(146, 147, 2, 'S')
(148, 149, 2, 'S')
(150, 151, 0, 'S')
(1, 4, 0, 'SV')
(2, 5, 0, 'SV')
(3, 6, 0, 'SV')
(9, 11, 0, 'SV')
(19, 19, 0, 'SV')
(16, 17, 0, 'SV')
(21, 24, 0, 'SV')
(22, 49, 0, 'SV')
(23, 50, 0, 'SV')
(25, 29, 0, 'SV')
(28, 28, 0, 'SV')
(35, 96, 0, 'SV')
(36, 97, 0, 'SV')
(39, 34, 0, 'SV')
(42, 48, 0, 'SV')
(45, 45, 0, 'SV')
(65, 67, 0, 'SV')
(66, 68, 0, 'SV')
(72, 77, 0, 'SV')
(82, 82, 0, 'SV')
(88, 94, 0, 'SV')
(91, 91, 0, 'SV')
(117, 120, 0, 'SV')
(136, 137, 0, 'SV')
